ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.29,41.06,6759.39,42.08,6922.73,21.5,22.9,22.1,21.2,33.9,33.561,0.791235,43.4,92.36,72.696556,292.2,84.3,79.7,373.6,3500.0,3500.0,3.392,943.790222,721.563416,1311.0,16.08,1.35,0.88,80.29,0.87,0.06,7.83,666.653137,-4.190383,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.65,41.06,6759.39,42.08,6922.73,21.5,25.8,22.3,21.5,33.5,32.83,0.776385,45.3,92.93,73.739955,368.4,100.2,89.2,404.6,3500.0,3500.0,3.386,963.776672,717.285767,1311.0,16.08,1.35,0.88,80.29,0.87,0.06,7.83,683.810242,-3.533832,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.65,41.06,6759.39,42.08,6922.73,20.045,26.099999999999998,21.9,16.25,23.050000000000004,22.522500000000008,0.803925,45.8,92.26,73.20831,424.6,96.4,96.0,398.3,3700.0,3700.0,3.363,969.683655,715.311462,1311.0,16.08,1.35,0.88,80.29,0.87,0.06,7.83,697.79071,-2.679209,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.65,41.06,6759.39,42.08,6922.73,20.48,26.099999999999998,21.8,22.4,23.050000000000004,22.522500000000008,0.8073,48.6,92.07,73.057545,488.0,124.4,102.2,444.6,3800.0,3800.0,3.366,994.713135,730.920105,1311.0,16.08,1.35,0.88,80.29,0.87,0.05,7.92,678.213806,-2.426998,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.65,41.06,6759.39,42.08,6922.73,21.5,20.8,22.5,20.5,26.7,26.433,0.753165,49.3,90.68,71.95458,480.7,124.0,101.8,444.7,4000.0,4000.0,3.626,1021.176331,774.098999,1311.0,16.08,1.35,0.88,80.29,0.87,0.05,7.92,653.022034,-1.641461,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.5,41.06,6759.39,42.08,6922.73,21.5,21.5,17.9,20.5,32.9,32.571,0.753165,50.1,88.71,69.63735,485.0,125.0,102.0,445.7,4000.0,4000.0,3.478,1020.902649,801.07489,1311.0,16.08,1.35,0.88,80.29,0.87,0.05,7.92,696.171509,-3.407433,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.5,41.06,6759.39,42.08,6922.73,21.5,23.7,19.2,20.7,31.1,30.478,0.78867,45.6,90.74,71.2309,377.5,101.0,89.8,397.4,3800.0,3800.0,4.55,1005.257813,822.195435,1312.0,16.67,1.23,0.85,80.01,0.87,0.05,7.92,720.239929,-2.796046,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.5,41.06,6759.39,42.08,6922.73,21.5,23.1,22.6,20.2,32.1,31.779,0.907875,34.2,102.35,80.34475,341.5,92.3,85.6,388.7,3200.0,3200.0,3.718,972.776367,824.519714,1312.0,16.67,1.23,0.85,80.01,0.87,0.05,7.86,668.926514,-2.982489,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.5,41.06,6759.39,42.08,6922.73,21.5,23.5,20.9,22.4,32.6,32.274,0.89073,37.2,98.95,77.67575,379.6,101.7,90.0,404.9,3300.0,3300.0,3.685,939.366333,771.943481,1312.0,16.67,1.23,0.85,80.01,0.87,0.05,7.86,678.782654,-2.959319,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.93,42.2,6877.76,43.07,6930.77,21.5,22.3,21.3,22.6,32.9,32.571,0.888435,36.5,101.96,80.619772,445.8,125.3,98.1,445.0,3700.0,3700.0,3.774,950.191528,797.293274,1312.0,16.67,1.23,0.85,80.01,0.87,0.05,7.86,671.484558,-3.117797,0.45
