time,ni_in,fe_in,sio2_in,cao_in,mgo_in,al2o3_in,fe_ni,s_m,bc,loi_in,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,voltage_pry,voltage_sec,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
1/1/24 23:00,,,,,,,,,,,0.000000,,,,,-0.10,0.500000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000810,,0.000000,0.000000,8.600000,17.700000,54.700000,249.800000,0.000000,,,0.000000,40.190060,43.134304,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,230.222260,-6.533270,
1/2/24 0:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000810,,0.000000,0.000000,8.100000,17.400000,54.200000,268.700000,,,,0.000000,38.220070,41.532261,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,226.853699,-6.522977,
1/2/24 1:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.100000,0.000000,0.000000,-1.000000,0.000000,-0.000675,,0.000000,0.000000,8.700000,17.600000,53.800000,268.300000,0.000000,,,0.000000,37.021336,40.179005,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,223.977249,-6.804909,
1/2/24 2:00,,,,,,,,,,,0.000000,,,,,-0.10,0.300000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000675,,0.000000,0.000000,7.500000,17.700000,52.800000,267.600000,0.000000,,,0.000000,36.183445,39.808372,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,220.203476,-7.725239,
1/2/24 3:00,,,,,,,,,,,0.000000,,,,,-0.10,0.500000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000945,,0.000000,0.000000,17.800000,22.900000,41.600000,263.800000,0.000000,,,0.000000,44.050419,45.211353,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,217.021530,-16.190247,
1/2/24 4:00,,,,,,,,,,,0.000000,,,,,-0.10,0.300000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000675,,0.000000,0.000000,17.700000,23.100000,41.700000,262.400000,0.000000,,,0.000000,104.203735,107.589317,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,213.935532,-15.292044,
1/2/24 5:00,,,,,,,,,,,0.000000,,,,,-0.10,0.500000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000675,,0.000000,0.000000,17.800000,23.200000,42.000000,263.100000,0.000000,,,0.000000,82.841652,82.368248,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,209.649185,-15.311312,
1/2/24 6:00,,,,,,,,,,,0.000000,,,,,30.300000,157.800000,14.040000,6.400000,6.500000,6.200000,1000.000000,-0.990000,990.000000,-0.000675,,0.000000,0.000000,17.200000,23.400000,41.600000,263.700000,0.000000,,,0.000000,65.832626,64.883484,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,205.456085,-16.013332,
1/2/24 7:00,,,,,,,,,,,0.000000,,,,,30.200000,154.100000,14.040000,11.700000,11.400000,11.500000,3000.000000,-0.950000,2850.000000,-0.000540,,0.000000,0.000000,17.300000,23.100000,41.600000,263.600000,0.000000,,,0.000000,55.148895,53.713375,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,202.957169,-16.032169,
1/2/24 8:00,,,,,,,,,,,0.000000,,,,,30.400000,124.100000,14.040000,13.100000,13.200000,13.500000,4000.000000,-0.910000,3640.000000,-0.000675,,0.000000,0.000000,17.700000,23.200000,41.300000,263.100000,0.000000,,,0.000000,49.469307,48.326267,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,200.656174,-16.048977,
