ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.07,19.1,16.637499999999996,17.8,29.37,29.0763,0.95634,41.3,105.52,81.35592,516.1,221.7,106.3,525.0,4000.0,5.559,1029.548218,795.311584,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.67,682.955872,-3.552782,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.07,20.0,21.9,22.0,26.26,25.9974,0.95661,40.3,110.55,85.23405,517.3,222.4,106.0,525.2,3900.0,5.593,1043.64563,815.684631,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.67,694.267334,-4.109025,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.07,20.4,20.2,20.9,28.43,28.1457,0.959175,37.9,110.56,85.24176,510.9,221.4,105.0,524.8,3800.0,5.576,999.107971,803.357849,1354.0,15.95,1.16,0.79,81.52,0.58,0.05,7.67,709.525513,-4.012136,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.07,21.5,22.3,22.1,32.25,32.25,0.96093,37.8,110.55,85.23405,482.7,222.1,102.8,526.0,3600.0,5.547,984.606873,784.075317,1354.0,15.95,1.16,0.79,81.52,0.58,0.05,7.67,728.773987,-3.381493,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.5,21.0,20.0,19.8,31.26,31.26,0.95823,39.1,110.56,85.24176,500.6,216.2,104.5,525.2,3600.0,5.598,957.208801,767.955261,1354.0,15.95,1.16,0.79,81.52,0.58,0.05,7.59,711.914734,-3.669731,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.5,17.4,21.6,19.5,32.7,32.7,0.95931,40.6,110.56,85.24176,513.5,218.4,105.9,524.6,3900.0,5.584,978.268921,780.394226,1354.0,15.95,1.16,0.79,81.52,0.58,0.05,7.59,698.838806,-3.042415,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.31,39.38,6429.41,39.7,6539.87,21.5,21.3,17.7,23.2,34.56,34.56,0.959445,40.7,109.82,84.220958,518.6,217.4,106.1,525.5,4000.0,5.54,968.779602,768.861572,1354.0,15.95,1.16,0.79,81.52,0.58,0.05,7.59,662.770508,-4.286488,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.31,39.38,6429.41,39.7,6539.87,21.5,22.7,23.0,21.5,31.63,31.3137,0.964575,40.4,109.63,84.075247,526.5,217.5,106.2,525.3,1801.6935496626438,5.539,988.203796,771.240967,1362.0,15.91,1.43,0.85,81.25,0.57,0.05,7.59,652.92749,-4.389893,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,23.31,39.38,6429.41,39.7,6539.87,21.5,19.8,22.1,20.5,31.05,31.05,0.9612,40.7,109.54,84.006226,511.2,231.8,106.4,525.4,4100.0,5.537,969.637024,762.065918,1362.0,15.91,1.43,0.85,81.25,0.57,0.05,7.51,648.954651,-3.692714,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.24,39.38,6429.41,39.7,6539.87,21.5,18.5,22.2,20.9,32.14,32.14,0.956475,41.4,109.64,85.256064,562.0,226.8,110.7,535.3,4100.0,5.544,956.738831,762.05365,1362.0,15.91,1.43,0.85,81.25,0.57,0.05,7.51,660.498291,-1.77925,0.0
